fecha,umap_abs_1,umap_abs_2,cluster_abs,umap_chg_1,umap_chg_2,cluster_chg
2000-12-06,-6.227302,4.0266953,5,2.1226196,9.490931,0
2000-12-07,-6.2267594,4.0383406,5,2.1022668,9.519947,0
2000-12-08,-6.641759,3.659373,5,11.022291,3.8812726,3
2000-12-09,-6.417928,3.9697466,5,2.0231974,9.66584,0
2000-12-10,-6.6705565,3.570057,5,2.03114,9.6558075,0
2000-12-11,-6.2149024,4.0139093,5,2.032049,9.654249,0
2000-12-12,-6.2203803,4.023881,5,2.025783,9.663131,0
2000-12-13,-6.22178,4.03631,5,2.0277915,9.6577,0
2000-12-14,-6.2230396,4.0075965,5,2.011827,9.677717,0
2000-12-15,-6.22113,4.0004506,5,2.0158782,9.675236,0
2000-12-16,-6.331734,3.955228,5,2.008238,9.683008,0
2000-12-17,-6.630504,3.577115,5,2.0111942,9.681283,0
2000-12-18,-6.2388377,4.0046163,5,2.010359,9.681738,0
2000-12-19,-6.2372155,4.0174446,5,2.0074873,9.683087,0
2000-12-20,-6.2446537,3.9752142,5,2.0066705,9.683528,0
2000-12-21,-6.219111,3.9896162,5,2.0094573,9.682123,0
2000-12-22,-6.267689,3.974254,5,10.646489,3.5661504,3
2000-12-23,-6.3494735,3.9216552,5,10.631206,3.511047,3
2000-12-24,-6.6112967,3.6291041,5,10.577091,3.5467567,3
2000-12-25,-6.74184,3.4504492,5,12.247488,3.4727955,3
2000-12-26,-6.3300905,3.9256792,5,10.982545,3.8792615,3
2000-12-27,-6.326343,3.950175,5,10.977645,3.8992922,3
2000-12-28,-6.318537,3.9585338,5,10.981154,3.8781374,3
2000-12-29,-6.3538747,3.9344115,5,9.809279,4.4714417,3
2000-12-30,-6.596556,3.673774,5,10.960616,3.8497875,3
2000-12-31,-6.6763773,3.5597796,5,10.908469,3.8215852,3
2001-01-01,-13.663635,-2.963784,2,12.567362,3.2139359,3
2001-01-02,-13.766607,-3.048242,2,12.504227,3.1253552,3
2001-01-03,-13.853394,-3.124585,2,12.471007,3.106674,3
2001-01-04,-13.843735,-3.1113398,2,12.461771,3.0872796,3
2001-01-05,-13.833599,-3.1021562,2,12.429552,3.0488162,3
2001-01-06,-13.78701,-3.0736568,2,12.431359,3.0254643,3
2001-01-07,-13.652013,-2.9369037,2,12.429529,3.0128863,3
2001-01-08,-13.685529,-2.9922497,2,12.567682,3.1937284,3
2001-01-09,-13.844662,-3.116649,2,12.437901,3.0549433,3
2001-01-10,-13.859969,-3.1238122,2,12.43097,3.038413,3
2001-01-11,-13.853351,-3.1144884,2,12.433606,3.042996,3
2001-01-12,-13.853376,-3.1140823,2,9.247084,0.16787386,3
2001-01-13,-13.82596,-3.0966094,2,9.214128,0.13662125,3
2001-01-14,-13.6979885,-2.9867907,2,9.251673,0.17395283,3
2001-01-15,-13.864562,-3.1223462,2,6.8685174,5.1484294,3
2001-01-16,-13.882937,-3.1388562,2,9.199466,0.10902211,3
2001-01-17,-13.863771,-3.1259124,2,9.199886,0.1116552,3
2001-01-18,-13.869198,-3.126966,2,9.203345,0.11016987,3
2001-01-19,-13.867601,-3.116919,2,9.209904,0.103500634,3
2001-01-20,-13.840099,-3.1080928,2,9.205103,0.101421565,3
2001-01-21,-13.694324,-2.9841309,2,9.208122,0.11830986,3
2001-01-22,-13.895834,-3.1493225,2,6.8451805,5.313438,3
2001-01-23,-13.868548,-3.1241322,2,7.7823725,5.576248,3
2001-01-24,-13.852121,-3.1055243,2,8.067511,5.7244673,3
2001-01-25,-13.892296,-3.1468718,2,8.13146,5.699351,3
2001-01-26,-13.874257,-3.1302593,2,8.341283,5.7080946,3
2001-01-27,-13.84515,-3.113778,2,8.61598,5.8667517,3
2001-01-28,-13.699538,-2.9872446,2,8.630033,5.911195,3
2001-01-29,-13.870854,-3.1278658,2,6.897711,5.2493486,3
2001-01-30,-13.879057,-3.14389,2,8.434031,5.760964,3
2001-01-31,-13.895076,-3.165257,2,8.38569,5.7276096,3
2001-02-01,-13.985852,-3.3088574,2,7.2300596,14.730084,0
2001-02-02,-14.009654,-3.3319125,2,7.2320695,14.732814,0
2001-02-03,-13.889218,-3.2185678,2,7.2310905,14.733449,0
